iter	RMSE
0	1900.117269
1	1823.274221
2	1753.531952
3	1691.92783
4	1636.775362
5	1588.42319
6	1544.901473
7	1506.377366
8	1472.703231
9	1442.382534
10	1416.473304
11	1393.699863
12	1373.600912
13	1355.963646
14	1340.754724
15	1327.582067
16	1316.30586
17	1306.156294
18	1297.409419
19	1289.46199
20	1282.626299
21	1276.718118
22	1271.672682
23	1267.323093
24	1263.826266
25	1261.078363
26	1258.263635
27	1255.567893
28	1253.082917
29	1250.977696
30	1249.134722
31	1247.614128
32	1246.23358
33	1245.089078
34	1243.999315
35	1243.11263
36	1242.183305
37	1241.822107
38	1240.76927
39	1240.082682
40	1239.507051
41	1239.013953
42	1238.492067
43	1238.078929
44	1237.606798
45	1236.931714
46	1236.528207
47	1236.220176
48	1235.657261
49	1235.465731
50	1234.891485
51	1234.670157
52	1234.254225
53	1234.093292
54	1233.729184
55	1233.480591
56	1233.269272
57	1233.049542
58	1232.866526
59	1232.714114
60	1232.464116
61	1232.314097
62	1232.055669
63	1231.909696
64	1231.754608
65	1231.468123
66	1231.143539
67	1230.94211
68	1230.768967
69	1230.686391
70	1230.580155
71	1230.406485
72	1230.197066
73	1230.080184
74	1229.77786
75	1229.595749
76	1229.324321
77	1229.293253
78	1229.030114
79	1229.005849
80	1228.924225
81	1228.618781
82	1228.414733
83	1228.244379
84	1228.155388
85	1228.063562
86	1227.997102
87	1227.846
88	1227.778955
89	1227.523406
90	1227.306031
91	1227.210977
92	1227.092035
93	1226.97647
94	1226.80273
95	1226.742431
96	1226.656691
97	1226.439773
98	1226.293833
99	1226.170027
100	1226.020681
101	1225.949287
102	1225.877697
103	1225.726891
104	1225.687745
105	1225.622186
106	1225.542986
107	1225.405885
108	1225.197846
109	1225.071852
110	1224.963786
111	1224.873714
112	1224.763247
113	1224.686177
114	1224.517137
115	1224.475104
116	1224.434534
117	1224.378232
118	1224.316234
119	1224.249816
120	1224.082851
121	1223.916159
122	1223.714195
123	1223.574419
124	1223.427439
125	1223.318447
126	1223.232514
127	1223.165805
128	1223.098815
129	1223.039844
130	1222.901156
131	1222.840645
132	1222.72284
133	1222.66407
134	1222.387697
135	1222.350656
136	1222.308526
137	1222.152481
138	1222.004187
139	1221.934504
140	1221.862893
141	1221.763699
142	1221.604024
143	1221.51154
144	1221.498609
145	1221.438195
146	1221.224272
147	1221.106544
148	1220.96389
149	1220.804402
150	1220.717606
151	1220.536699
152	1220.3347
153	1220.180702
154	1220.049157
155	1219.924737
156	1219.677837
157	1219.489739
158	1219.358762
159	1219.25127
160	1219.170412
161	1219.062971
162	1218.900302
163	1218.795584
164	1218.670003
165	1218.464754
166	1218.355643
167	1218.249583
168	1218.118268
169	1217.946364
170	1217.83743
171	1217.668712
172	1217.581656
173	1217.500081
174	1217.413376
175	1217.32779
176	1217.133333
177	1216.921318
178	1216.833925
179	1216.782885
180	1216.652369
181	1216.564815
182	1216.449904
183	1216.201087
184	1216.097353
185	1215.953253
186	1215.831686
187	1215.644327
188	1215.519105
189	1215.355089
190	1215.245429
191	1215.147443
192	1215.017396
193	1214.944365
194	1214.872842
195	1214.694179
196	1214.479119
197	1214.427513
198	1214.332673
199	1214.139348
200	1214.070317
201	1213.900376
202	1213.837028
203	1213.778116
204	1213.567349
205	1213.514925
206	1213.408538
207	1213.314652
208	1213.184234
209	1212.982458
210	1212.886093
211	1212.852462
212	1212.731729
213	1212.54614
214	1212.406812
215	1212.227885
216	1212.038335
217	1211.974088
218	1211.856175
219	1211.802004
220	1211.747672
221	1211.580026
222	1211.40611
223	1211.225942
224	1211.101513
225	1210.933438
226	1210.867948
227	1210.794431
228	1210.715725
229	1210.617382
230	1210.506439
231	1210.429148
232	1210.294425
233	1210.207704
234	1210.081958
235	1210.022264
236	1209.844866
237	1209.694161
238	1209.588318
239	1209.545983
240	1209.459271
241	1209.297569
242	1209.224601
243	1209.127981
244	1209.053297
245	1208.928976
246	1208.841916
247	1208.764032
248	1208.699891
249	1208.5829
250	1208.427875
251	1208.390937
252	1208.346758
253	1208.180945
254	1208.041328
255	1207.933386
256	1207.881305
257	1207.807066
258	1207.715351
259	1207.482564
260	1207.340445
261	1207.25876
262	1207.187558
263	1207.125138
264	1206.96984
265	1206.869012
266	1206.733324
267	1206.611039
268	1206.479386
269	1206.370569
270	1206.286347
271	1206.24573
272	1206.198122
273	1206.096336
274	1205.947972
275	1205.843574
276	1205.780857
277	1205.618599
278	1205.499309
279	1205.355196
280	1205.265083
281	1205.154074
282	1205.07775
283	1205.036953
284	1204.89681
285	1204.863822
286	1204.827808
287	1204.730757
288	1204.616136
289	1204.566068
290	1204.501375
291	1204.379815
292	1204.318598
293	1204.198985
294	1204.090607
295	1204.03212
296	1204.008622
297	1203.952647
298	1203.884721
299	1203.778217
300	1203.674488
301	1203.607502
302	1203.499817
303	1203.432302
304	1203.389574
305	1203.328281
306	1203.23056
307	1203.168516
308	1203.078205
309	1203.026926
310	1202.85407
311	1202.757582
312	1202.705864
313	1202.639988
314	1202.596091
315	1202.538897
316	1202.457671
317	1202.295245
318	1202.236749
319	1202.199678
320	1202.159092
321	1202.0946
322	1202.06513
323	1201.976969
324	1201.879312
325	1201.804279
326	1201.685051
327	1201.624468
328	1201.462434
329	1201.401927
330	1201.317927
331	1201.273194
332	1201.174941
333	1201.063942
334	1200.945049
335	1200.863844
336	1200.810873
337	1200.732756
338	1200.688942
339	1200.595707
340	1200.474087
341	1200.41702
342	1200.371196
343	1200.198244
344	1200.05925
345	1199.975725
346	1199.894576
347	1199.819079
348	1199.756997
349	1199.702895
350	1199.653227
351	1199.510812
352	1199.471629
353	1199.409434
354	1199.365594
355	1199.336085
356	1199.213918
357	1199.136263
358	1199.088563
359	1198.971907
360	1198.893531
361	1198.793302
362	1198.746864
363	1198.699321
364	1198.590146
365	1198.557606
366	1198.52722
367	1198.486883
368	1198.41808
369	1198.378324
370	1198.272196
371	1198.199826
372	1198.147604
373	1198.073307
374	1198.036356
375	1197.940976
376	1197.900762
377	1197.788942
378	1197.743723
379	1197.712602
380	1197.670105
381	1197.570645
382	1197.48442
383	1197.367372
384	1197.343158
385	1197.223837
386	1197.195915
387	1197.150283
388	1197.085773
389	1197.037781
390	1196.965675
391	1196.851969
392	1196.767916
393	1196.725652
394	1196.630465
395	1196.588815
396	1196.526378
397	1196.453487
398	1196.384605
399	1196.284619
400	1196.214147
401	1196.088547
402	1196.011241
403	1195.948919
404	1195.839895
405	1195.748636
406	1195.707796
407	1195.57307
408	1195.505415
409	1195.424111
410	1195.325541
411	1195.275607
412	1195.082639
413	1194.97596
414	1194.952242
415	1194.849033
416	1194.81934
417	1194.708139
418	1194.553445
419	1194.526312
420	1194.433088
421	1194.40593
422	1194.332791
423	1194.249195
424	1194.222484
425	1194.202695
426	1194.125874
427	1194.110492
428	1194.054619
429	1193.901183
430	1193.819822
431	1193.730187
432	1193.652552
433	1193.584445
434	1193.527159
435	1193.477043
436	1193.366256
437	1193.333844
438	1193.304007
439	1193.23134
440	1193.194831
441	1193.145505
442	1193.115326
443	1193.033562
444	1193.007434
445	1192.915678
446	1192.838138
447	1192.811478
448	1192.721976
449	1192.633909
450	1192.592743
451	1192.492763
452	1192.399625
453	1192.280605
454	1192.203057
455	1192.106545
456	1192.084649
457	1191.981981
458	1191.898951
459	1191.864729
460	1191.80996
461	1191.724641
462	1191.62226
463	1191.568117
464	1191.515545
465	1191.448813
466	1191.428011
467	1191.396941
468	1191.319363
469	1191.269495
470	1191.193951
471	1191.15214
472	1191.055968
473	1191.039744
474	1190.935748
475	1190.870235
476	1190.785676
477	1190.65239
478	1190.616081
479	1190.446946
480	1190.369954
481	1190.321721
482	1190.235087
483	1190.121682
484	1190.0139
485	1189.941744
486	1189.856432
487	1189.821404
488	1189.766126
489	1189.704712
490	1189.661998
491	1189.612997
492	1189.527702
493	1189.499746
494	1189.411024
495	1189.328746
496	1189.305377
497	1189.267396
498	1189.182323
499	1189.166568
500	1189.020702
501	1188.960073
502	1188.883827
503	1188.797174
504	1188.725844
505	1188.656289
506	1188.617621
507	1188.553275
508	1188.509321
509	1188.461099
510	1188.440908
511	1188.402556
512	1188.320252
513	1188.193367
514	1188.045981
515	1188.018643
516	1187.91963
517	1187.833112
518	1187.774183
519	1187.748333
520	1187.668804
521	1187.617057
522	1187.511748
523	1187.469155
524	1187.423942
525	1187.377815
526	1187.334886
527	1187.303724
528	1187.227999
529	1187.09018
530	1187.024806
531	1186.982572
532	1186.877704
533	1186.805182
534	1186.690856
535	1186.621477
536	1186.523052
537	1186.450872
538	1186.385581
539	1186.26609
540	1186.243023
541	1186.189002
542	1186.126773
543	1186.073926
544	1186.015881
545	1185.98322
546	1185.908048
547	1185.853558
548	1185.832221
549	1185.76225
550	1185.708446
551	1185.602981
552	1185.541353
553	1185.518966
554	1185.46299
555	1185.361331
556	1185.308948
557	1185.232501
558	1185.103119
559	1185.027041
560	1184.954245
561	1184.910172
562	1184.854689
563	1184.829533
564	1184.75099
565	1184.699626
566	1184.622342
567	1184.575119
568	1184.52494
569	1184.487999
570	1184.445469
571	1184.346012
572	1184.236899
573	1184.207715
574	1184.143233
575	1184.094815
576	1184.024255
577	1183.994802
578	1183.936511
579	1183.914137
580	1183.862063
581	1183.830255
582	1183.801533
583	1183.763019
584	1183.710784
585	1183.676262
586	1183.613739
587	1183.555493
588	1183.49247
589	1183.429324
590	1183.401062
591	1183.324137
592	1183.299761
593	1183.239565
594	1183.201343
595	1183.163282
596	1183.11491
597	1183.08891
598	1182.999426
599	1182.936588
600	1182.894352
601	1182.856142
602	1182.823414
603	1182.764147
604	1182.678217
605	1182.592662
